Date,price
4/4/2018,58
4/5/2018,58
4/6/2018,57
4/9/2018,58
4/10/2018,58
4/11/2018,58
4/12/2018,58
4/13/2018,58
4/16/2018,58
4/17/2018,59
4/18/2018,58
4/19/2018,58
4/20/2018,57
4/23/2018,57
4/24/2018,57
4/25/2018,57
4/26/2018,58
4/27/2018,57
4/30/2018,57
5/1/2018,57
5/2/2018,56
5/3/2018,55
5/4/2018,57
5/7/2018,56
5/8/2018,57
5/9/2018,56
5/10/2018,57
5/11/2018,57
5/14/2018,56
5/15/2018,56
5/16/2018,56
5/17/2018,57
5/18/2018,56
5/21/2018,57
5/22/2018,56
5/23/2018,57
5/24/2018,57
5/25/2018,57
5/29/2018,57
5/30/2018,57
5/31/2018,56
6/1/2018,56
6/4/2018,56
6/5/2018,55
6/6/2018,56
6/7/2018,56
6/8/2018,56
6/11/2018,56
6/12/2018,56
6/13/2018,56
6/14/2018,56
6/15/2018,56
6/18/2018,57
6/19/2018,57
6/20/2018,52
6/21/2018,50
6/22/2018,51
6/25/2018,50
6/26/2018,50
6/27/2018,49
6/28/2018,48
6/29/2018,48
7/2/2018,48
7/3/2018,48
7/5/2018,48
7/6/2018,48
7/9/2018,49
7/10/2018,50
7/11/2018,50
7/12/2018,50
7/13/2018,51
7/16/2018,50
7/17/2018,51
7/18/2018,51
7/19/2018,51
7/20/2018,50
7/23/2018,51
7/24/2018,51
7/25/2018,51
7/26/2018,51
7/27/2018,52
7/30/2018,51
7/31/2018,52
8/1/2018,51
8/2/2018,51
8/3/2018,52
8/6/2018,51
8/7/2018,51
8/8/2018,51
8/9/2018,52
8/10/2018,51
8/13/2018,52
8/14/2018,52
8/15/2018,52
8/16/2018,53
8/17/2018,53
8/20/2018,54
8/21/2018,54
8/22/2018,53
8/23/2018,52
8/24/2018,52
8/27/2018,53
8/28/2018,53
8/29/2018,53
8/30/2018,53
8/31/2018,53
9/4/2018,53
9/5/2018,54
9/6/2018,54
9/7/2018,55
9/10/2018,55
9/11/2018,55
9/12/2018,55
9/13/2018,55
9/14/2018,54
9/17/2018,54
9/18/2018,55
9/19/2018,55
9/20/2018,56
9/21/2018,57
9/24/2018,56
9/25/2018,57
9/26/2018,57
9/27/2018,57
9/28/2018,57
10/1/2018,55
10/2/2018,55
10/3/2018,55
10/4/2018,56
10/5/2018,55
10/8/2018,56
10/9/2018,57
10/10/2018,56
10/11/2018,55
10/12/2018,56
10/15/2018,56
10/16/2018,58
10/17/2018,59
10/18/2018,58
10/19/2018,58
10/22/2018,59
10/23/2018,58
10/24/2018,58
10/25/2018,59
10/26/2018,58
10/29/2018,58
10/30/2018,58
10/31/2018,58
11/1/2018,58
11/2/2018,64
11/5/2018,64
11/6/2018,66
11/7/2018,68
11/8/2018,68
11/9/2018,68
11/12/2018,68
11/13/2018,67
11/14/2018,67
11/15/2018,68
11/16/2018,68
11/19/2018,68
11/20/2018,67
11/21/2018,67
11/23/2018,66
11/26/2018,66
11/27/2018,66
11/28/2018,67
11/29/2018,67
11/30/2018,67
12/3/2018,68
12/4/2018,67
12/6/2018,67
12/7/2018,65
12/10/2018,65
12/11/2018,66
12/12/2018,66
12/13/2018,67
12/14/2018,65
12/17/2018,64
12/18/2018,65
12/19/2018,64
12/20/2018,62
12/21/2018,61
12/24/2018,61
12/26/2018,63
12/27/2018,63
12/28/2018,63
12/31/2018,64
